table,variable,type,n_present,n_missing,coverage,n_distinct,levels,example,description,documented
representation_gini,era,string,27,0,1.0,9,ben_ali | beylical | bourguiba | monarchy | protectorate | protectorate_end | saied_exception | second_republic | transition,,"Regime era at the start of the tenure (→ spells.era). Boundaries are half-open, so a government formed on a transition date is coded to the incoming regime.",True
representation_gini,units,string,27,0,1.0,3,governorate | greater_tunis_merged | region,,"The territorial partition: governorate (all 24), greater_tunis_merged (the four capital governorates as one), region (the seven regions). The level is only meaningful relative to a partition — see below.",True
representation_gini,ministers,integer,27,0,1.0,9,,6,"All ministers who served in that era, coded or not — the denominator behind coverage.",True
representation_gini,coded,integer,27,0,1.0,9,,1,Ministers with a birthplace resolved to a governorate. The index is computed on these.,True
representation_gini,coverage,numeric,27,0,1.0,8,,0.167,Share of that era's ministers with a coded birthplace. Every index is conditional on it.,True
representation_gini,governorates_represented,integer,27,0,1.0,11,,1,Distinct governorates supplying at least one minister. A breadth measure independent of the Gini: it rose from 6 under the protectorate to 21 under Ben Ali and has been flat since.,True
representation_gini,basis,string,27,0,1.0,5,reported | withheld: newcomers 4% covered; sample is almost all holdovers | withheld: only 1 coded ministers | withheld: only 14 coded ministers | withheld: only 16 coded ministers,,"reported, or withheld: and the reason. Post-2021 cabinets are withheld: only 2 of the 46 ministers who entered under Saied have a coded birthplace, so the coded sample is almost entirely holdovers.",True
representation_gini,gini_representation,numeric,15,12,0.556,15,,0.8546,Gini of the Lorenz curve of cumulative population share against cumulative minister share. 0 = every governorate supplies ministers in exact proportion to its population; 1 = every minister from one vanishingly small place.,True
representation_gini,ci_low,numeric,15,12,0.556,15,,0.8147,"95% pivotal bootstrap interval, resampling individual ministers. Pivotal rather than percentile: resampling adds dispersion to the count vector and the Gini rises with it, so the percentile interval is biased upward and can fail to bracket the estimate.",True
representation_gini,ci_high,numeric,15,12,0.556,15,,0.8845,"95% pivotal bootstrap interval, resampling individual ministers. Pivotal rather than percentile: resampling adds dispersion to the count vector and the Gini rises with it, so the percentile interval is biased upward and can fail to bracket the estimate.",True
representation_gini,gini_counts,numeric,15,12,0.556,15,,0.9095,"Gini of the raw counts, ignoring population. Reported so the two cannot be confused — an even split of ministers across governorates of wildly different size scores 0 here and badly unequal on gini_representation.",True
representation_changes,units,string,12,0,1.0,3,governorate | greater_tunis_merged | region,,"The territorial partition: governorate (all 24), greater_tunis_merged (the four capital governorates as one), region (the seven regions). The level is only meaningful relative to a partition — see below.",True
representation_changes,from,string,12,0,1.0,4,ben_ali | bourguiba | protectorate | transition,,"The two eras being compared, in chronological order.",True
representation_changes,to,string,12,0,1.0,4,ben_ali | bourguiba | second_republic | transition,,"The two eras being compared, in chronological order.",True
representation_changes,gini_from,numeric,12,0,1.0,12,,0.8546,"The index in each, repeated here so a row is self-contained.",True
representation_changes,gini_to,numeric,12,0,1.0,12,,0.5591,"The index in each, repeated here so a row is self-contained.",True
representation_changes,delta,numeric,12,0,1.0,12,,-0.2956,gini_to − gini_from. Negative means more equal.,True
representation_changes,ci_low,numeric,12,0,1.0,12,,-0.3952,"95% pivotal bootstrap interval, resampling individual ministers. Pivotal rather than percentile: resampling adds dispersion to the count vector and the Gini rises with it, so the percentile interval is biased upward and can fail to bracket the estimate.",True
representation_changes,ci_high,numeric,12,0,1.0,12,,-0.2414,"95% pivotal bootstrap interval, resampling individual ministers. Pivotal rather than percentile: resampling adds dispersion to the count vector and the Gini rises with it, so the percentile interval is biased upward and can fail to bracket the estimate.",True
representation_changes,significant,boolean,12,0,1.0,2,False | True,,True when the interval excludes zero. Under every partition this is true for protectorate→Bourguiba and false for Ben Ali→transition.,True
representation_by_governorate,governorate,string,24,0,1.0,24,,Tunis,"One of the 24 current governorates. All appear, including those supplying no minister.",True
representation_by_governorate,ministers,integer,24,0,1.0,21,,204,"All ministers who served in that era, coded or not — the denominator behind coverage.",True
representation_by_governorate,population,integer,24,0,1.0,24,,1075306,"2024 general census (INS), from config/places.yml.",True
representation_by_governorate,population_share,numeric,24,0,1.0,24,,0.0898,That governorate's share of the national population.,True
representation_by_governorate,minister_share,numeric,24,0,1.0,21,,0.3269,Its share of all coded ministers.,True
representation_by_governorate,ratio,numeric,24,0,1.0,24,,3.64,"minister_share ÷ population_share. 1.0 is exact proportionality; Tunis is 3.77, Ariana 0.00.",True
edges_bipartite,person_id,string,1942,0,1.0,858,,Q100261455,"Primary key. The Wikidata QID where one exists (Q57553), otherwise a slug derived from the person's name (TN-hedi-nouira). Slugs get a numeric suffix when two distinct people share a name. Stable across runs.",True
edges_bipartite,cabinet_id,string,1942,0,1.0,56,,Gouvernement Mechichi,"→ cabinets.cabinet_id. A spell id (TN-04) for spine rows, a Wikipedia article title for harvested rows.",True
edges_bipartite,n_posts,integer,1942,0,1.0,9,,2,Portfolios held by this person in this cabinet.,True
edges_bipartite,portfolios,string,1942,0,1.0,230,,culture,Which ones (piped).,True
edges_bipartite,tenure_days,numeric,1942,0,1.0,663,,770.0,"Days in office; open tenures censored at the snapshot. Read together with date_basis — where that is cabinet, this is the cabinet's span, not the person's tenure.",True
